Date,Close,EMA_1,EMA_2,EMA_3,EMA_4,EMA_5,EMA_6,EMA_7,EMA_8,EMA_9,EMA_10,EMA_11,EMA_12,EMA_13,EMA_14,EMA_15,EMA_16,EMA_17,EMA_18,EMA_19,EMA_20,EMA_21,EMA_22,EMA_23,EMA_24,EMA_25,EMA_26,EMA_27,EMA_28,EMA_29,EMA_30
2024-04-01,69702.148438,69702.148438,69702.148438,69702.148438,69702.148438,69702.148438,69702.148438,69702.148438,69702.148438,69702.148438,69702.148438,69702.148438,69702.148438,69702.148438,69702.148438,69702.148438,69702.148438,69702.148438,69702.148438,69702.148438,69702.148438,69702.148438,69702.148438,69702.148438,69702.148438,69702.148438,69702.148438,69702.148438,69702.148438,69702.148438,69702.148438
2024-04-02,65446.972656,65446.972656,66865.36458333333,67574.560547,68000.0781252,68283.75651066667,68486.38392885715,68638.3544925,68756.55381977778,68851.1132816,68928.480114,68992.95247433333,69047.50601,69094.26618342858,69134.79166706667,69170.25146525001,69201.53952247059,69229.35112888888,69254.23519778947,69276.6308598,69296.89360161906,69315.314276,69332.1331526087,69347.55045616666,69361.73437544,69374.82722400001,69386.95023192593,69398.2073107143,69408.68803924139,69418.47005253333,69427.62096819356
2024-04-03,65980.8125,65980.8125,66275.66319444444,66777.6865235,67192.37187512,67516.10850711112,67770.50637775511,67973.968994375,68139.72241538271,68277.05312528,68392.54054781818,68490.92914527778,68575.70700846154,68649.48708579593,68714.26111145779,68771.57159459376,68822.63046100346,68868.40239234567,68909.66438749584,68947.04902382,68981.07635384581,69012.17775090909,69040.71396542534,69066.98895981944,69091.26062540482,69113.74916830771,69134.64373326475,69154.10768137756,69172.28282963853,69189.29288236445,69205.2462283101
2024-04-04,68508.84375,68508.84375,67764.45023148149,67643.26513675001,67718.96062507201,67847.02025474075,67981.45991268223,68107.68768328126,68221.749378631,68323.411250224,68413.6865845785,68493.91491273149,68565.42035331362,68629.39518068223,68686.87212993008,68738.73061401953,68785.714377356,68828.45143208504,68867.47274144365,68903.22849643801,68936.10182014621,68966.4201144628,68994.46438147532,69020.47685900115,69044.66727537243,69067.21798228404,69088.28817894885,69108.01740056487,69126.52841035312,69143.92960687348,69160.31703616107
2024-04-05,67837.640625,67837.640625,67813.2438271605,67740.452880875,67766.4326250432,67843.89371149385,67940.36868763017,68040.17591871094,68136.3918778241,68226.25712517921,68308.95095556423,68384.53586477625,68453.45424126537,68516.28738701335,68573.64126260608,68626.09436539208,68674.17628884352,68718.36134240893,68759.06936076537,68796.6697092942,68831.48646822752,68863.80379723891,68893.87101134703,68921.90717283438,68948.10514334263,68972.6351086468,68995.64761939707,69017.27620231024,69037.63959757015,69056.84367474858,69074.98307415067
2024-04-06,68896.109375,68896.109375,68535.15419238684,68318.2811279375,68218.30332502592,68194.6322659959,68213.43745545011,68254.1592827832,68305.21798830763,68360.22757514338,68415.70703182528,68469.7981164802,68521.55503107069,68570.54767101145,68616.63701092527,68659.84624159307,68700.28606368546,68738.11112380793,68773.49462542165,68806.61367586479,68837.64103077727,68866.74066794447,68894.06565166468,68919.75735634819,68943.94548187523,68966.7485137509,68988.2744161084,69008.62142893094,69027.8788925653,69046.12805476534,69063.44283549579
2024-04-07,69362.554688,69362.554688,69086.75452279561,68840.41790796875,68676.00387021556,68583.93973999727,68541.75666475008,68531.2581340874,68540.18169935037,68560.69299771471,68587.86115112978,68618.59087840017,68650.9395936752,68683.69153058124,68716.09270120191,68747.68479739394,68778.20001948717,68807.49374205149,68835.50094779831,68862.20777707832,68887.63280765562,68911.8146697677,68934.80382873732,68956.65713398583,68977.43421836522,68997.1951425393,69015.99888069296,69033.9023760073,69050.95998190563,69067.22316364765,69082.74037436703
2024-04-08,71631.359375,71631.359375,70783.15775759854,70235.88864148437,69858.14607212934,69599.74628499818,69424.50029625006,69306.28344431554,69227.11007171696,69174.82627317177,69141.22446456073,69120.7189611668,69109.465713879,69104.78693692679,69104.79492437499,69108.1441195947,69113.86582601808,69121.25659015687,69129.80183487217,69139.1229368705,69148.94009978366,69159.046006607,69169.28691971669,69179.54898740367,69189.748230896,69199.8231604209,69209.72928767867,69219.4350187925,69228.91856073972,69238.1655777378,69247.16740666593
2024-04-09,69139.015625,69139.015625,69687.06300253284,69687.45213324219,69570.4938932776,69446.16939833213,69342.93324732147,69264.46648948666,69207.53352800208,69167.66414353742,69140.82285736786,69123.768405139,69114.01185405147,69109.67674950868,69109.35768445833,69112.00305777036,69116.8246258983,69123.22981625055,69130.7717075172,69139.11220568344,69147.99491170903,69157.22506282454,69166.65463321959,69176.17120720337,69185.68962242432,69195.14565769622,69204.49123859136,69213.69077637875,69222.71835827491,69231.55558088861,69240.1898723649
2024-04-10,70587.882813,70587.882813,70287.60954284428,70137.6674731211,69977.44946116656,69826.74053655476,69698.63312322962,69595.320570365,69514.27781355717,69451.70787742994,69403.9246674828,69367.78747311584,69340.76123235124,69320.84904429317,69306.49436826388,69296.48802717407,69289.89029496908,69285.9690381116,69284.1518238838,69283.9892664151,69285.12709278436,69287.28485829504,69290.23969233093,69293.81384101976,69297.86507767039,69302.27928502728,69306.96468854755,69311.84735042312,69316.86763101457,69321.97739636271,69327.13780401878
