Date,Close,EMA_1,EMA_2,EMA_3,EMA_4,EMA_5,EMA_6,EMA_7,EMA_8,EMA_9,EMA_10,EMA_11,EMA_12,EMA_13,EMA_14,EMA_15,EMA_16,EMA_17,EMA_18,EMA_19,EMA_20,EMA_21,EMA_22,EMA_23,EMA_24,EMA_25,EMA_26,EMA_27,EMA_28,EMA_29,EMA_30
2019-07-01,10583.134766,10583.134766,10583.134766,10583.134766,10583.134766,10583.134766,10583.134766,10583.134766,10583.134766,10583.134766,10583.134766,10583.134766,10583.134766,10583.134766,10583.134766,10583.134766,10583.134766,10583.134766,10583.134766,10583.134766,10583.134766,10583.134766,10583.134766,10583.134766,10583.134766,10583.134766,10583.134766,10583.134766,10583.134766,10583.134766,10583.134766
2019-07-02,10801.677734,10801.677734,10728.830078,10692.40625,10670.5519532,10655.982422000001,10645.575614,10637.770508,10631.69987,10626.8433596,10622.869851090907,10619.558594,10616.756761076922,10614.35519,10612.273828399999,10610.452636999999,10608.845703411764,10607.417317999998,10606.139288947368,10604.9890628,10603.948381999999,10603.002308545454,10602.138502347825,10601.346679999999,10600.618203439999,10599.94576353846,10599.323134,10598.744977999999,10598.206694827586,10597.7042972,10597.23431232258
2019-07-03,11961.269531,11961.269531,11550.456380000001,11326.837890499999,11186.83898432,11091.078125000002,11021.488161714286,10968.64526375,10927.159794666666,10893.72859388,10866.215247438015,10843.1770835,10823.604879526627,10806.771524428572,10792.13992208,10779.304748749999,10767.95438901038,10757.845341666663,10748.784577584487,10740.61710962,10733.217062857142,10726.481146950413,10720.323809187144,10714.673584249998,10709.4703096448,10704.662976420119,10700.208052296297,10696.068160357143,10692.211028356718,10688.60864612,10685.236584495318
2019-07-04,11215.4375,11215.4375,11327.11046,11271.13769525,11198.278390592,11132.531250000002,11076.902258367347,11030.3433228125,10991.221506962962,10958.070375104,10929.710202449283,10905.22048625,10883.886821137916,10865.152378081633,10848.579599136,10833.821342656249,10820.599460891512,10808.688914814811,10797.905937838752,10788.099148658,10779.14281877551,10770.931724500375,10763.377173605653,10756.403910562498,10749.947684873216,10743.953324387803,10738.373196570645,10733.165970331633,10728.295612607979,10723.730569712,10719.443095173041
2019-07-05,10978.459961,10978.459961,11094.676794,11124.798828125,11110.3510187552,11081.174153666669,11048.775887690963,11017.372482359375,10988.385607860082,10962.1482922832,10938.573794913049,10917.427065375,10898.436534962852,10881.3391756414,10865.896980717866,10851.901169949218,10839.171284433687,10827.552364390942,10816.911624487304,10807.135229892201,10798.12540374927,10789.797927818523,10782.080024683422,10774.90858143229,10768.22866696336,10761.992296434895,10756.15740134319,10750.686969665088,10745.548326290187,10740.712529131199,10736.153860710265
2019-07-06,11208.550781,11208.550781,11170.592785333334,11166.674804562499,11149.63092365312,11123.633029444447,11094.42585720783,11065.167057019531,11037.311201891174,11011.42879002656,10987.66051965613,10965.947684645835,10946.146418968567,10928.083690692629,10911.584154088818,10896.482371330567,10882.62769579443,10869.885521791948,10858.136798857062,10847.276785002981,10837.213534916007,10827.86636901684,10819.16443827617,10811.045431396265,10803.454436086291,10796.34294909375,10789.668022058508,10783.391527617583,10777.479530063278,10771.901745922452,10766.631081374118
2019-07-07,11450.84668,11450.84668,11357.428715111111,11308.76074228125,11270.117226191873,11232.704246296298,11196.260378005592,11161.586962764648,11129.207974804247,11099.31236802125,11071.876185173198,11046.76418387153,11023.792612973402,11002.76411773654,10983.48582421031,10965.777909914246,10949.476988053908,10934.436761592842,10920.527312661581,10907.633774502683,10895.654786828769,10884.500942742581,10874.093328860852,10864.362202113243,10855.245815599388,10846.689389932693,10838.644218943062,10831.066895644899,10823.918643852017,10817.164741527622,10810.77402322095
2019-07-08,12285.958008,12285.958008,11976.448243703704,11797.359375140626,11676.453538915124,11583.788833530865,11507.602558003995,11442.679724073485,11386.263537736637,11336.641496017,11292.61833477807,11253.296487892942,11217.971904515956,11186.07753063132,11157.148782048935,11130.800422174965,11106.710049224035,11084.605788971414,11064.25685953931,11045.466197852415,11028.064617416505,11011.906130493255,10996.864170525127,10982.828519270472,10969.702790991438,10957.402360553257,10945.852647762094,10934.987689384549,10924.74894482774,10915.084292625781,10905.947183529277
2019-07-09,12573.8125,12573.8125,12374.691081234569,12185.585937570313,12035.397123349076,11913.79672235391,11812.233970002853,11725.462918055113,11650.163307128496,11584.075696813601,11525.562728454785,11473.382489910784,11426.562765359655,11384.325383398276,11346.037277775744,11311.176931903094,11279.310337550618,11250.073201307923,11223.157453272013,11198.300828067173,11175.278701472076,11153.897618630232,11133.990112218595,11115.410517664599,11098.031567712123,11081.74160204916,11066.442266446384,11052.04660442851,11038.477465874103,11025.666173117395,11013.55139749513
2019-07-10,12156.512695,12156.512695,12229.238823744856,12171.049316285156,12083.843352009444,11994.702046569275,11910.599320002038,11833.225362291334,11762.685393322163,11698.563096450882,11640.280904190278,11587.23752409232,11538.862754535092,11494.637856484238,11454.100666738977,11416.843902290208,11382.510614897603,11350.788700607041,11321.405373453907,11294.122014760456,11268.729557998546,11245.044443754756,11222.905119416979,11202.169032442549,11182.710057895154,11164.416301506917,11147.188224117022,11130.93703946933,11115.583343744855,11101.055941242903,11087.290836043832
2019-07-11,11358.662109,11358.662109,11648.854347248285,11764.855712642579,11793.770854805667,11782.688734046184,11752.902974001456,11714.584548968502,11672.902441250571,11630.582898960707,11589.077486882954,11549.141621576933,11511.139578298924,11475.212749700777,11441.375525707113,11409.571178128932,11379.704908321413,11351.663523761814,11325.327135090338,11300.576024184411,11277.294562855826,11255.373322413414,11234.710075032894,11215.21012215567,11196.786221983542,11179.358286698693,11162.852956330576,11147.203115864379,11132.34739652107,11118.229685760043,11104.798660105522
