Date,Position,Profit,Balance,duretion
2021-07-02,Long,10.00,1010.00,3y
2021-07-05,Short,10.10,1020.10,3y
2021-07-06,Long,10.20,1030.30,3y
2021-07-07,Short,10.30,1040.60,3y
2021-07-11,Long,10.41,1051.01,3y
2021-07-12,Short,10.51,1061.52,3y
2021-07-22,Long,10.62,1072.14,3y
2021-08-26,Short,10.72,1082.86,3y
2021-08-27,Long,10.83,1093.69,3y
2021-08-30,Short,10.94,1104.62,3y
2021-09-01,Long,11.05,1115.67,3y
2021-09-07,Short,11.16,1126.83,3y
2021-09-14,Long,11.27,1138.09,3y
2021-09-17,Short,11.38,1149.47,3y
2021-09-18,Long,11.49,1160.97,3y
2021-09-19,Short,11.61,1172.58,3y
2021-09-30,Long,11.73,1184.30,3y
2021-10-27,Short,11.84,1196.15,3y
2021-10-28,Long,11.96,1208.11,3y
2021-11-05,Short,12.08,1220.19,3y
2021-11-06,Long,12.20,1232.39,3y
2021-11-15,Short,12.32,1244.72,3y
2021-12-21,Long,12.45,1257.16,3y
2021-12-22,Short,12.57,1269.73,3y
2021-12-23,Long,12.70,1282.43,3y
2021-12-28,Short,12.82,1295.26,3y
2022-02-01,Long,12.95,1308.21,3y
2022-02-02,Short,13.08,1321.29,3y
2022-02-04,Long,13.21,1334.50,3y
2022-02-17,Short,13.35,1347.85,3y
2022-02-28,Long,13.48,1361.33,3y
2022-03-04,Short,13.61,1374.94,3y
2022-03-09,Long,13.75,1388.69,3y
2022-03-10,Short,13.89,1402.58,3y
2022-03-14,Long,14.03,1416.60,3y
2022-03-15,Short,14.17,1430.77,3y
2022-03-16,Long,14.31,1445.08,3y
2022-04-06,Short,14.45,1459.53,3y
2022-05-04,Long,14.60,1474.12,3y
2022-05-05,Short,14.74,1488.86,3y
2022-05-30,Long,14.89,1503.75,3y
2022-06-01,Short,15.04,1518.79,3y
2022-06-02,Long,15.19,1533.98,3y
2022-06-03,Short,15.34,1549.32,3y
2022-06-06,Long,15.49,1564.81,3y
2022-06-08,Short,15.65,1580.46,3y
2022-07-07,Long,15.80,1596.26,3y
2022-07-10,Short,15.96,1612.23,3y
2022-07-14,Long,16.12,1628.35,3y
2022-07-25,Short,16.28,1644.63,3y
2022-07-27,Long,16.45,1661.08,3y
2022-08-04,Short,16.61,1677.69,3y
2022-08-05,Long,16.78,1694.47,3y
2022-08-17,Short,16.94,1711.41,3y
2022-09-09,Long,17.11,1728.52,3y
2022-09-13,Short,17.29,1745.81,3y
2022-09-29,Long,17.46,1763.27,3y
2022-09-30,Short,17.63,1780.90,3y
2022-10-03,Long,17.81,1798.71,3y
2022-10-07,Short,17.99,1816.70,3y
2022-10-17,Long,18.17,1834.86,3y
2022-10-18,Short,18.35,1853.21,3y
2022-10-23,Long,18.53,1871.74,3y
2022-11-08,Short,18.72,1890.46,3y
2022-11-30,Long,18.90,1909.37,3y
2022-12-07,Short,19.09,1928.46,3y
2022-12-08,Long,19.28,1947.74,3y
2022-12-16,Short,19.48,1967.22,3y
2022-12-26,Long,19.67,1986.89,3y
2022-12-27,Short,19.87,2006.76,3y
2023-01-04,Long,20.07,2026.83,3y
2023-02-06,Short,20.27,2047.10,3y
2023-02-07,Long,20.47,2067.57,3y
2023-02-09,Short,20.68,2088.25,3y
2023-02-15,Long,20.88,2109.13,3y
2023-02-24,Short,21.09,2130.22,3y
2023-03-01,Long,21.30,2151.52,3y
2023-03-02,Short,21.52,2173.04,3y
2023-03-12,Long,21.73,2194.77,3y
2023-04-19,Short,21.95,2216.72,3y
2023-04-27,Long,22.17,2238.88,3y
2023-05-01,Short,22.39,2261.27,3y
2023-05-03,Long,22.61,2283.88,3y
2023-05-07,Short,22.84,2306.72,3y
2023-05-28,Long,23.07,2329.79,3y
2023-05-31,Short,23.30,2353.09,3y
2023-06-02,Long,23.53,2376.62,3y
2023-06-03,Short,23.77,2400.38,3y
2023-06-06,Long,24.00,2424.39,3y
2023-06-07,Short,24.24,2448.63,3y
2023-06-16,Long,24.49,2473.12,3y
2023-07-06,Short,24.73,2497.85,3y
2023-07-07,Long,24.98,2522.83,3y
2023-07-14,Short,25.23,2548.06,3y
2023-08-01,Long,25.48,2573.54,3y
2023-08-02,Short,25.74,2599.27,3y
2023-08-08,Long,25.99,2625.27,3y
2023-08-11,Short,26.25,2651.52,3y
2023-08-12,Long,26.52,2678.03,3y
2023-08-13,Short,26.78,2704.81,3y
2023-08-14,Long,27.05,2731.86,3y
2023-08-15,Short,27.32,2759.18,3y
2023-08-29,Long,27.59,2786.77,3y
2023-08-31,Short,27.87,2814.64,3y
2023-09-13,Long,28.15,2842.79,3y
2023-09-24,Short,28.43,2871.21,3y
2023-09-28,Long,28.71,2899.93,3y
2023-10-10,Short,29.00,2928.93,3y
2023-10-16,Long,29.29,2958.22,3y
2023-11-14,Short,29.58,2987.80,3y
2023-11-15,Long,29.88,3017.68,3y
2023-11-21,Short,30.18,3047.85,3y
2023-11-22,Long,30.48,3078.33,3y
2023-12-11,Short,30.78,3109.11,3y
2023-12-12,Long,31.09,3140.20,3y
2023-12-17,Short,31.40,3171.61,3y
2023-12-18,Long,31.72,3203.32,3y
2023-12-26,Short,32.03,3235.36,3y
2023-12-27,Long,32.35,3267.71,3y
2023-12-28,Short,32.68,3300.39,3y
2024-01-01,Long,33.00,3333.39,3y
2024-01-03,Short,33.33,3366.72,3y
2024-01-04,Long,33.67,3400.39,3y
2024-01-12,Short,34.00,3434.40,3y
2024-01-26,Long,34.34,3468.74,3y
2024-03-16,Short,34.69,3503.43,3y
2024-03-17,Long,35.03,3538.46,3y
2024-03-19,Short,35.38,3573.85,3y
2024-03-20,Long,35.74,3609.58,3y
2024-03-21,Short,36.10,3645.68,3y
2024-03-24,Long,36.46,3682.14,3y
2024-04-02,Short,36.82,3718.96,3y
2024-04-04,Long,37.19,3756.15,3y
2024-04-05,Short,37.56,3793.71,3y
2024-04-06,Long,37.94,3831.65,3y
2024-04-12,Short,38.32,3869.96,3y
2024-04-22,Long,38.70,3908.66,3y
2024-04-24,Short,39.09,3947.75,3y
2024-05-03,Long,39.48,3987.23,3y
2024-05-07,Short,39.87,4027.10,3y
2024-05-09,Long,40.27,4067.37,3y
2024-05-10,Short,40.67,4108.04,3y
2024-05-13,Long,41.08,4149.12,3y
2024-05-14,Short,41.49,4190.62,3y
2024-05-15,Long,41.91,4232.52,3y
2024-05-31,Short,42.33,4274.85,3y
2024-06-01,Long,42.75,4317.60,3y
2024-06-11,Short,43.18,4360.77,3y
2024-07-01,Long,43.61,4404.38,3y
